flightDate,destinationIATA,delayMinutes,date,dayOfWeek,month
2025-01-01,BRU,-1.0,2025-01-01,Wednesday,2025-01
2025-01-01,LUX,-1.0,2025-01-01,Wednesday,2025-01
2025-01-01,HAM,5.0,2025-01-01,Wednesday,2025-01
2025-01-01,BRE,19.0,2025-01-01,Wednesday,2025-01
2025-01-01,BSL,15.0,2025-01-01,Wednesday,2025-01
2025-01-01,LYS,0.0,2025-01-01,Wednesday,2025-01
2025-01-01,GLA,22.0,2025-01-01,Wednesday,2025-01
2025-01-01,LTN,0.0,2025-01-01,Wednesday,2025-01
2025-01-01,TRN,4.0,2025-01-01,Wednesday,2025-01
2025-01-01,MUC,1.0,2025-01-01,Wednesday,2025-01
2025-01-01,GVA,65.0,2025-01-01,Wednesday,2025-01
2025-01-01,BEG,8.0,2025-01-01,Wednesday,2025-01
2025-01-01,CDG,0.0,2025-01-01,Wednesday,2025-01
2025-01-01,DUB,7.0,2025-01-01,Wednesday,2025-01
2025-01-01,AMS,3.0,2025-01-01,Wednesday,2025-01
2025-01-01,CWL,14.0,2025-01-01,Wednesday,2025-01
2025-01-01,GDN,11.0,2025-01-01,Wednesday,2025-01
2025-01-01,NCE,4.0,2025-01-01,Wednesday,2025-01
2025-01-01,ORK,-4.0,2025-01-01,Wednesday,2025-01
2025-01-01,LAX,9.0,2025-01-01,Wednesday,2025-01
2025-01-01,IAH,51.0,2025-01-01,Wednesday,2025-01
2025-01-01,MAN,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,SVG,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,WRO,3.0,2025-01-01,Wednesday,2025-01
2025-01-01,FCO,-2.0,2025-01-01,Wednesday,2025-01
2025-01-01,FLR,40.0,2025-01-01,Wednesday,2025-01
2025-01-01,ZRH,32.0,2025-01-01,Wednesday,2025-01
2025-01-01,HRG,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,CPT,190.0,2025-01-01,Wednesday,2025-01
2025-01-01,CUR,32.0,2025-01-01,Wednesday,2025-01
2025-01-01,ABZ,6.0,2025-01-01,Wednesday,2025-01
2025-01-01,NTE,11.0,2025-01-01,Wednesday,2025-01
2025-01-01,SFO,77.0,2025-01-01,Wednesday,2025-01
2025-01-01,HEL,134.0,2025-01-01,Wednesday,2025-01
2025-01-01,MAD,7.0,2025-01-01,Wednesday,2025-01
2025-01-01,BER,5.0,2025-01-01,Wednesday,2025-01
2025-01-01,VIE,7.0,2025-01-01,Wednesday,2025-01
2025-01-01,ZRH,4.0,2025-01-01,Wednesday,2025-01
2025-01-01,MAN,15.0,2025-01-01,Wednesday,2025-01
2025-01-01,ATL,48.0,2025-01-01,Wednesday,2025-01
2025-01-01,FRA,4.0,2025-01-01,Wednesday,2025-01
2025-01-01,MXP,4.0,2025-01-01,Wednesday,2025-01
2025-01-01,LPL,-1.0,2025-01-01,Wednesday,2025-01
2025-01-01,OPO,19.0,2025-01-01,Wednesday,2025-01
2025-01-01,AMS,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,CPH,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,TLS,4.0,2025-01-01,Wednesday,2025-01
2025-01-01,LHR,17.0,2025-01-01,Wednesday,2025-01
2025-01-01,AMS,20.0,2025-01-01,Wednesday,2025-01
2025-01-01,OSL,3.0,2025-01-01,Wednesday,2025-01
2025-01-01,BOD,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,STR,1.0,2025-01-01,Wednesday,2025-01
2025-01-01,DTW,11.0,2025-01-01,Wednesday,2025-01
2025-01-01,JNB,14.0,2025-01-01,Wednesday,2025-01
2025-01-01,AMS,22.0,2025-01-01,Wednesday,2025-01
2025-01-01,BLL,1.0,2025-01-01,Wednesday,2025-01
2025-01-01,WAW,8.0,2025-01-01,Wednesday,2025-01
2025-01-01,BUD,3.0,2025-01-01,Wednesday,2025-01
2025-01-01,BCN,15.0,2025-01-01,Wednesday,2025-01
2025-01-01,DUS,2.0,2025-01-01,Wednesday,2025-01
2025-01-01,SEA,31.0,2025-01-01,Wednesday,2025-01
2025-01-01,TBS,9.0,2025-01-01,Wednesday,2025-01
2025-01-01,LHR,38.0,2025-01-01,Wednesday,2025-01
2025-01-01,PBM,24.0,2025-01-01,Wednesday,2025-01
2025-01-01,IAH,40.0,2025-01-01,Wednesday,2025-01
2025-01-01,SIN,25.0,2025-01-01,Wednesday,2025-01
2025-01-01,BCN,15.0,2025-01-01,Wednesday,2025-01
2025-01-01,CDG,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,NCL,0.0,2025-01-01,Wednesday,2025-01
2025-01-01,WAW,6.0,2025-01-01,Wednesday,2025-01
2025-01-01,MSP,25.0,2025-01-01,Wednesday,2025-01
2025-01-01,DXB,1.0,2025-01-01,Wednesday,2025-01
2025-01-01,BLQ,7.0,2025-01-01,Wednesday,2025-01
2025-01-01,LPA,10.0,2025-01-01,Wednesday,2025-01
2025-01-01,BRS,-1.0,2025-01-01,Wednesday,2025-01
2025-01-01,GIG,15.0,2025-01-01,Wednesday,2025-01
2025-01-01,ARN,20.0,2025-01-01,Wednesday,2025-01
2025-01-01,FRA,26.0,2025-01-01,Wednesday,2025-01
2025-01-01,JFK,5.0,2025-01-01,Wednesday,2025-01
2025-01-01,ATL,10.0,2025-01-01,Wednesday,2025-01
2025-01-01,AMS,16.0,2025-01-01,Wednesday,2025-01
2025-01-01,BLR,14.0,2025-01-01,Wednesday,2025-01
2025-01-01,MAN,24.0,2025-01-01,Wednesday,2025-01
2025-01-01,LGW,87.0,2025-01-01,Wednesday,2025-01
2025-01-01,GRU,27.0,2025-01-01,Wednesday,2025-01
2025-01-01,MUC,19.0,2025-01-01,Wednesday,2025-01
2025-01-01,IAD,26.0,2025-01-01,Wednesday,2025-01
2025-01-01,MAD,23.0,2025-01-01,Wednesday,2025-01
2025-01-01,TPE,13.0,2025-01-01,Wednesday,2025-01
2025-01-01,HEL,44.0,2025-01-01,Wednesday,2025-01
2025-01-01,BOS,6.0,2025-01-01,Wednesday,2025-01
