origin,destination,airline_code,scheduled_duration
AMS,TPE,KL,PT12H30M
TPE,MNL,KL,PT2H25M
AMS,KUL,KL,PT12H15M
KUL,CGK,KL,PT2H5M
AMS,SIN,KL,PT12H25M
SIN,DPS,KL,PT2H45M
LHR,SIN,QF,PT13H30M
SIN,SYD,QF,PT7H50M
AMS,EZE,KL,PT13H55M
EZE,SCL,KL,PT2H15M
MKE,DTW,DL,PT1H10M
DTW,MKE,DL,PT1H20M
SEA,PDX,DL,PT1H2M
PDX,SEA,DL,PT1H3M
MSP,CLE,DL,PT1H55M
CLE,MSP,DL,PT2H4M
BNA,ATL,DL,PT1H13M
MSP,IND,DL,PT1H36M
MSP,CLT,DL,PT2H33M
CLT,MSP,DL,PT2H59M
SLC,SNA,DL,PT2H3M
SNA,SLC,DL,PT1H58M
GSO,ATL,DL,PT1H27M
SLC,SFO,DL,PT2H8M
SFO,SLC,DL,PT1H58M
LAX,SJC,DL,PT1H16M
SJC,LAX,DL,PT1H29M
YVR,SEA,DL,PT1H9M
SLC,JAC,DL,PT1H9M
DTW,JFK,DL,PT2H
MSP,ICT,DL,PT1H47M
AUS,DTW,DL,PT3H
MIA,LAX,DL,PT5H54M
ECP,ATL,DL,PT1H12M
SLC,MCI,DL,PT2H27M
ATL,ECP,DL,PT1H3M
ATL,PIT,DL,PT1H41M
GEG,SLC,DL,PT1H46M
RSW,MSP,DL,PT3H45M
MSP,RSW,DL,PT3H30M
SLC,GEG,DL,PT1H45M
ATL,CHS,DL,PT1H16M
CHS,ATL,DL,PT1H15M
MSP,SFO,DL,PT4H16M
SFO,SEA,DL,PT2H18M
BZN,SLC,DL,PT1H28M
SLC,BZN,DL,PT1H20M
ASE,ATL,DL,PT3H16M
SEA,MFR,DL,PT1H31M
MFR,SEA,DL,PT1H35M
ATL,MIA,DL,PT1H54M
MIA,ATL,DL,PT2H2M
ATL,DTW,DL,PT2H
ATL,HPN,DL,PT2H24M
DEN,MSP,DL,PT2H
ATL,CLT,DL,PT1H14M
IND,MSP,DL,PT1H47M
ATL,BHM,DL,PT56M
MSP,SMF,DL,PT3H53M
ATL,TUS,DL,PT3H55M
TUS,ATL,DL,PT3H35M
ATL,PWM,DL,PT2H45M
CUN,JFK,DL,PT3H52M
CMH,ATL,DL,PT1H41M
ATL,CMH,DL,PT1H37M
ATL,SFO,DL,PT5H23M
MSP,PSP,DL,PT3H44M
PSP,MSP,DL,PT3H23M
ATL,SAN,DL,PT4H44M
SAN,ATL,DL,PT4H12M
LAX,SFO,DL,PT1H22M
SFO,LAX,DL,PT1H35M
DTW,RSW,DL,PT2H56M
RSW,DTW,DL,PT2H55M
MSP,BIS,DL,PT1H28M
SEA,PHX,DL,PT2H58M
PHX,SEA,DL,PT3H19M
SLC,MKE,DL,PT2H59M
DFW,DTW,DL,PT2H40M
ATL,SBN,DL,PT1H55M
SBN,ATL,DL,PT2H4M
YYZ,JFK,DL,PT2H5M
MSP,FSD,DL,PT1H15M
FSD,MSP,DL,PT1H10M
SEA,SJC,DL,PT2H25M
ATL,SHV,DL,PT1H59M
SHV,ATL,DL,PT1H52M
SJC,SEA,DL,PT2H12M
MDW,DTW,DL,PT1H14M
YUL,DTW,DL,PT2H10M
XNA,ATL,DL,PT1H47M
DTW,YUL,DL,PT1H53M
ATL,XNA,DL,PT2H2M
JFK,DTW,DL,PT2H25M
SAV,JFK,DL,PT2H14M
DTW,GSP,DL,PT1H44M
DSM,MSP,DL,PT1H18M
ATL,JAN,DL,PT1H24M
ATL,STL,DL,PT1H44M
LGA,ORD,DL,PT2H55M
ORD,LGA,DL,PT2H23M
BOS,DCA,DL,PT1H56M
JFK,DCA,DL,PT1H38M
ATL,BNA,DL,PT1H9M
MSP,BOS,DL,PT2H55M
OGG,LAX,DL,PT5H10M
MSP,FLL,DL,PT3H39M
TLH,ATL,DL,PT1H13M
ATL,GSO,DL,PT1H18M
ATL,RSW,DL,PT1H41M
LAS,JFK,DL,PT5H10M
CLT,ATL,DL,PT1H33M
YUL,JFK,DL,PT1H43M
LAX,PHX,DL,PT1H32M
PHX,LAX,DL,PT1H42M
MSP,YWG,DL,PT1H33M
ATL,CHA,DL,PT54M
ATL,AGS,DL,PT55M
AGS,ATL,DL,PT1H10M
DTW,MCI,DL,PT2H
MCI,DTW,DL,PT1H54M
ATL,MKE,DL,PT2H1M
MKE,ATL,DL,PT2H
SLC,BOI,DL,PT1H13M
BOI,SLC,DL,PT1H23M
SDF,MSP,DL,PT2H18M
MSP,SDF,DL,PT2H4M
LAX,SMF,DL,PT1H31M
SMF,LAX,DL,PT1H40M
JFK,JAX,DL,PT2H43M
ORD,JFK,DL,PT2H25M
DCA,ATL,DL,PT2H4M
ATL,DCA,DL,PT1H46M
ATL,PDX,DL,PT5H26M
MCO,MSP,DL,PT3H45M
ATL,MCI,DL,PT2H11M
DTW,MSP,DL,PT1H55M
ATL,CLE,DL,PT1H48M
CLE,ATL,DL,PT1H59M
ATL,TUL,DL,PT1H59M
BTR,ATL,DL,PT1H43M
ATL,BTR,DL,PT1H32M
MIA,JFK,DL,PT3H7M
ATL,BDL,DL,PT2H12M
BOS,CVG,DL,PT2H28M
BNA,BOS,DL,PT2H37M
ATL,PNS,DL,PT1H9M
PNS,ATL,DL,PT1H17M
DTW,DEN,DL,PT3H15M
BOS,FLL,DL,PT3H34M
JFK,SLC,DL,PT5H31M
MIA,MCO,DL,PT1H20M
MCO,MIA,DL,PT1H24M
MSP,SAT,DL,PT3H15M
LAX,JFK,DL,PT5H34M
DTW,ORD,DL,PT1H35M
ORD,DTW,DL,PT1H23M
ATL,MEM,DL,PT1H22M
VPS,ATL,DL,PT1H21M
ATL,LIT,DL,PT1H37M
ATL,LEX,DL,PT1H14M
LEX,ATL,DL,PT1H35M
MDW,ATL,DL,PT1H50M
ATL,MDW,DL,PT1H54M
BOS,BNA,DL,PT3H8M
BOS,MCI,DL,PT3H48M
MCI,BOS,DL,PT3H6M
MSN,DTW,DL,PT1H22M
ATL,AEX,DL,PT1H53M
ATL,GSP,DL,PT1H
SAT,MSP,DL,PT2H52M
RDU,BOS,DL,PT2H
JFK,SFO,DL,PT6H55M
GSP,ATL,DL,PT1H6M
ATL,DAB,DL,PT1H19M
DTW,TVC,DL,PT1H10M
TVC,DTW,DL,PT1H8M
SFO,JFK,DL,PT5H44M
DTW,PDX,DL,PT4H49M
PDX,DTW,DL,PT4H17M
DTW,LAX,DL,PT4H51M
ATL,RIC,DL,PT1H34M
DTW,STL,DL,PT1H35M
DTW,JAX,DL,PT2H19M
PWM,DTW,DL,PT2H10M
DTW,PWM,DL,PT1H59M
DEN,BOS,DL,PT4H5M
DTW,TYS,DL,PT1H33M
JAN,ATL,DL,PT1H22M
ATL,SAV,DL,PT1H4M
SAV,ATL,DL,PT1H11M
DTW,OMA,DL,PT2H1M
SLC,SJC,DL,PT2H5M
SJC,SLC,DL,PT2H
ATL,LFT,DL,PT1H57M
LFT,ATL,DL,PT1H44M
DTW,DSM,DL,PT1H55M
ATL,CRW,DL,PT1H21M
CRW,ATL,DL,PT1H32M
MEM,ATL,DL,PT1H20M
DTW,SYR,DL,PT1H28M
SYR,DTW,DL,PT1H52M
ATL,CAE,DL,PT1H3M
JFK,CHS,DL,PT2H35M
DTW,CHS,DL,PT2H6M
ATL,MOB,DL,PT1H23M
MOB,ATL,DL,PT1H22M
MSP,MSO,DL,PT3H9M
ATL,GNV,DL,PT1H16M
GNV,ATL,DL,PT1H17M
BOS,MSP,DL,PT3H30M
FLL,DTW,DL,PT3H6M
DTW,FLL,DL,PT3H7M
MSP,PSC,DL,PT3H26M
MSP,ORD,DL,PT1H35M
ORD,MSP,DL,PT1H35M
ATL,EGE,DL,PT3H33M
EGE,ATL,DL,PT3H10M
ATL,ILM,DL,PT1H31M
ILM,ATL,DL,PT1H34M
MCO,LGA,DL,PT2H41M
ATL,VPS,DL,PT1H17M
SLC,IDA,DL,PT1H6M
IDA,SLC,DL,PT1H16M
DTW,SBN,DL,PT1H3M
CLE,DTW,DL,PT1H1M
DTW,CLE,DL,PT58M
DTW,FWA,DL,PT1H
DTW,HSV,DL,PT1H49M
HSV,DTW,DL,PT1H53M
ALB,DTW,DL,PT1H46M
DTW,ALB,DL,PT1H34M
SAN,MSP,DL,PT3H39M
LGA,DTW,DL,PT2H17M
BOS,LGA,DL,PT1H27M
ONT,SLC,DL,PT1H51M
JFK,YYZ,DL,PT1H55M
SLC,COS,DL,PT1H38M
ATL,HSV,DL,PT59M
YUL,MSP,DL,PT2H50M
PHX,JFK,DL,PT5H7M
ATL,MCO,DL,PT1H27M
STL,ATL,DL,PT1H37M
LIT,ATL,DL,PT1H36M
AUS,JFK,DL,PT3H47M
ATL,ABY,DL,PT1H
