iata,icao,nvls,public_name
0B,BLA,5191,Blue Air
2F,EZZ,5316,ETF Airways
2L,OAW,449,Helvetic
2N,LYX,5259,Smart Lynx Malta
2W,WFL,5309,World2fly
3O,MAC,4891,Air Arabia Maroc
4M,MGH,5310,MGA Airlines
4U,GWI,5005,Germanwings
4Y,BGA,5234,Airbus Transport International
5F,FIA,5291,Flyone
5K,HFY,114,Hi Fly SA
5M,HFM,5192,Hi Fly Ltd
5O,FPO,5082,ASL Airlines France
5P,LLX,5084,Small Planet Airlines
6B,BLX,5135,TUIfly Nordic
6E,IGO,5300,IndiGo
6H,ISR,96,Israir
6I,,5251,Air Alisie A/S
6K,TAH,5321,Air Anka
6Y,ART,5088,SmartLynx Airlines
