id,flight_name,flight_number,airline_code,airline_code_icao,flight_direction,schedule_date,schedule_time,schedule_datetime,terminal,gate,pier,service_type,main_flight,last_updated,flight_states,destinations,eu,visa_required,estimated_landing_time,actual_landing_time,expected_time_on_belt,aircraft_type,aircraft_subtype,aircraft_registration,baggage_belts,codeshares,public_estimated_off_block_time,actual_off_block_time,checkin_desks,expected_time_gate_open,expected_time_boarding,expected_time_gate_closing
142381868339434410,HV5352,5352,HV,TRA,A,2025-05-19,00:05:00,2025-05-19T00:05:00.000+02:00,1.0,,,J,HV5352,2025-05-19T02:41:36.086+02:00,"ARR, EXP",FAO,S,False,2025-05-19T01:04:49.000+02:00,2025-05-19T01:04:49.000+02:00,2025-05-19T01:37:35.000+02:00,32S,32S,,2,KL3282,,,,,,
142381868717809804,KL3282,3282,KL,KLM,A,2025-05-19,00:05:00,2025-05-19T00:05:00.000+02:00,1.0,,,J,HV5352,2025-05-19T02:41:36.086+02:00,"ARR, EXP",FAO,S,False,2025-05-19T01:04:49.000+02:00,2025-05-19T01:04:49.000+02:00,2025-05-19T01:37:35.000+02:00,32S,32S,,2,KL3282,,,,,,
142381868339434118,HV5314,5314,HV,TRA,A,2025-05-19,00:05:00,2025-05-19T00:05:00.000+02:00,1.0,,,J,HV5314,2025-05-19T01:39:56.696+02:00,"ARR, EXP",LCA,E,False,2025-05-18T23:44:22.000+02:00,2025-05-18T23:44:22.000+02:00,2025-05-19T00:27:21.000+02:00,737,737,,4,KL2756,,,,,,
142381868717721974,KL2756,2756,KL,KLM,A,2025-05-19,00:05:00,2025-05-19T00:05:00.000+02:00,1.0,,,J,HV5314,2025-05-19T01:39:56.696+02:00,"ARR, EXP",LCA,E,False,2025-05-18T23:44:22.000+02:00,2025-05-18T23:44:22.000+02:00,2025-05-19T00:27:21.000+02:00,737,737,,4,KL2756,,,,,,
142381868339450838,HV5952,5952,HV,TRA,A,2025-05-19,00:05:00,2025-05-19T00:05:00.000+02:00,1.0,,,J,HV5952,2025-05-19T01:44:16.107+02:00,"ARR, EXP",LIS,S,False,2025-05-19T00:18:58.000+02:00,2025-05-19T00:18:58.000+02:00,2025-05-19T00:39:22.000+02:00,32S,32S,,4,,,,,,,
142381868339527136,HV6004,6004,HV,TRA,A,2025-05-19,00:10:00,2025-05-19T00:10:00.000+02:00,1.0,,,J,HV6004,2025-05-19T01:12:28.088+02:00,"ARR, EXP",OPO,S,False,2025-05-18T23:51:39.000+02:00,2025-05-18T23:51:39.000+02:00,2025-05-19T00:08:06.000+02:00,737,737,,6,,,,,,,
142381868339428790,HV5134,5134,HV,TRA,A,2025-05-19,00:10:00,2025-05-19T00:10:00.000+02:00,1.0,,,J,HV5134,2025-05-19T01:27:25.091+02:00,ARR,BCN,S,False,2025-05-19T00:06:25.000+02:00,2025-05-19T00:06:25.000+02:00,2025-05-19T00:24:11.000+02:00,737,737,,6,,,,,,,
142381868339529956,HV6118,6118,HV,TRA,A,2025-05-19,00:10:00,2025-05-19T00:10:00.000+02:00,1.0,,,J,HV6118,2025-05-19T01:57:07.950+02:00,ARR,AGP,S,False,2025-05-19T00:08:34.000+02:00,2025-05-19T00:08:34.000+02:00,2025-05-19T00:45:01.000+02:00,737,737,,2,KL2652,,,,,,
142381868717719228,KL2652,2652,KL,KLM,A,2025-05-19,00:10:00,2025-05-19T00:10:00.000+02:00,1.0,,,J,HV6118,2025-05-19T01:57:07.950+02:00,ARR,AGP,S,False,2025-05-19T00:08:34.000+02:00,2025-05-19T00:08:34.000+02:00,2025-05-19T00:45:01.000+02:00,737,737,,2,KL2652,,,,,,
142381869010688113,MP8371,8371,MP,MPH,D,2025-05-19,00:15:00,2025-05-19T00:15:00.000+02:00,,,,F,MP8371,2025-05-19T00:46:36.879+02:00,DEP,JNB,N,False,,,,74F,74F,PHCKA,,,2025-05-19T00:15:00.000+02:00,2025-05-19T00:24:10.000+02:00,,,,
142381867176436206,HV174,174,HV,TRA,A,2025-05-19,00:20:00,2025-05-19T00:20:00.000+02:00,3.0,,,J,HV174,2025-05-19T01:57:08.719+02:00,ARR,AYT,N,False,2025-05-19T00:13:35.000+02:00,2025-05-19T00:13:35.000+02:00,2025-05-19T01:07:27.264+02:00,32S,32S,,17,,,,,,,
142381868339530236,HV6150,6150,HV,TRA,A,2025-05-19,00:25:00,2025-05-19T00:25:00.000+02:00,1.0,,,J,HV6150,2025-05-19T01:44:17.119+02:00,"ARR, EXP",ALC,S,False,2025-05-19T00:03:23.000+02:00,2025-05-19T00:03:23.000+02:00,2025-05-19T00:39:02.000+02:00,737,737,,4,KL2644,,,,,,
142381868717719158,KL2644,2644,KL,KLM,A,2025-05-19,00:25:00,2025-05-19T00:25:00.000+02:00,1.0,,,J,HV6150,2025-05-19T01:44:17.119+02:00,"ARR, EXP",ALC,S,False,2025-05-19T00:03:23.000+02:00,2025-05-19T00:03:23.000+02:00,2025-05-19T00:39:02.000+02:00,737,737,,4,KL2644,,,,,,
142381869295045398,OR3012,3012,OR,TFL,A,2025-05-19,00:30:00,2025-05-19T00:30:00.000+02:00,4.0,,,J,OR3012,2025-05-19T02:38:00.121+02:00,"ARR, EXP",AYT,N,False,2025-05-19T00:41:35.000+02:00,2025-05-19T00:41:35.000+02:00,2025-05-19T01:43:31.075+02:00,737,737,,20,,,,,,,
142381868339445444,HV5766,5766,HV,TRA,A,2025-05-19,00:35:00,2025-05-19T00:35:00.000+02:00,1.0,,,J,HV5766,2025-05-19T01:57:08.397+02:00,"ARR, EXP",GRO,S,False,2025-05-19T00:20:58.000+02:00,2025-05-19T00:20:58.000+02:00,2025-05-19T00:47:48.000+02:00,737,737,,2,,,,,,,
142381868339448252,HV5874,5874,HV,TRA,A,2025-05-19,00:40:00,2025-05-19T00:40:00.000+02:00,1.0,,,J,HV5874,2025-05-19T01:57:09.173+02:00,"ARR, EXP",SPU,S,False,2025-05-19T00:15:56.000+02:00,2025-05-19T00:15:56.000+02:00,2025-05-19T00:49:19.000+02:00,737,737,,6,,,,,,,
142381868339535580,HV6338,6338,HV,TRA,A,2025-05-19,00:40:00,2025-05-19T00:40:00.000+02:00,1.0,,,J,HV6338,2025-05-19T02:10:20.100+02:00,ARR,VLC,S,False,2025-05-19T00:45:18.000+02:00,2025-05-19T00:45:18.000+02:00,2025-05-19T01:08:12.000+02:00,737,737,,2,,,,,,,
142381867155887146,CD724,724,CD,CND,A,2025-05-19,00:50:00,2025-05-19T00:50:00.000+02:00,3.0,,,C,CD724,2025-05-19T02:29:51.078+02:00,ARR,RHO,S,False,2025-05-19T00:53:32.000+02:00,2025-05-19T00:53:32.000+02:00,2025-05-19T01:53:52.037+02:00,737,737,,15,,,,,,,
142381869294856414,OR1508,1508,OR,TFL,A,2025-05-19,01:10:00,2025-05-19T01:10:00.000+02:00,4.0,,,J,OR1508,2025-05-19T02:38:00.356+02:00,ARR,PMI,S,False,2025-05-19T01:02:33.000+02:00,2025-05-19T01:02:33.000+02:00,2025-05-19T02:08:28.425+02:00,737,737,,19,,,,,,,
142381868339549636,HV6886,6886,HV,TRA,A,2025-05-19,01:15:00,2025-05-19T01:15:00.000+02:00,1.0,,,J,HV6886,2025-05-19T02:28:25.102+02:00,"ARR, EXP",KEF,S,False,2025-05-19T01:00:09.000+02:00,2025-05-19T01:00:09.000+02:00,2025-05-19T01:25:40.000+02:00,737,737,,4,,,,,,,
142381869295045694,OR3052,3052,OR,TFL,A,2025-05-19,01:20:00,2025-05-19T01:20:00.000+02:00,3.0,,,J,OR3052,2025-05-19T03:05:28.125+02:00,ARR,DLM,N,False,2025-05-19T01:16:12.000+02:00,2025-05-19T01:16:12.000+02:00,2025-05-19T02:23:24.655+02:00,737,737,,18,,,,,,,
142381868339031858,HV1446,1446,HV,TRA,A,2025-05-19,01:25:00,2025-05-19T01:25:00.000+02:00,3.0,,,C,HV1446,2025-05-19T02:39:17.077+02:00,"ARR, EXP",HRG,N,False,2025-05-19T01:13:43.000+02:00,2025-05-19T01:13:43.000+02:00,2025-05-19T02:01:13.516+02:00,737,737,,15,,,,,,,
142381868339434483,HV5361,5361,HV,TRA,D,2025-05-19,05:00:00,2025-05-19T05:00:00.000+02:00,1.0,C9,C,J,HV5361,2025-05-19T05:17:12.156+02:00,DEP,FAO,S,False,,,,737,737,PHHSM,,KL2639,,2025-05-19T04:58:45.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868717719095,KL2639,2639,KL,KLM,D,2025-05-19,05:00:00,2025-05-19T05:00:00.000+02:00,1.0,C9,C,J,HV5361,2025-05-19T05:17:12.156+02:00,DEP,FAO,S,False,,,,737,737,PHHSM,,KL2639,,2025-05-19T04:58:45.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868339434417,HV5355,5355,HV,TRA,D,2025-05-19,05:10:00,2025-05-19T05:10:00.000+02:00,1.0,C11,C,J,HV5355,2025-05-19T05:24:15.512+02:00,DEP,FAO,S,False,,,,737,737,PHHZX,,KL2667,,2025-05-19T05:08:54.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868717719313,KL2667,2667,KL,KLM,D,2025-05-19,05:10:00,2025-05-19T05:10:00.000+02:00,1.0,C11,C,J,HV5355,2025-05-19T05:24:15.512+02:00,DEP,FAO,S,False,,,,737,737,PHHZX,,KL2667,,2025-05-19T05:08:54.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868339034813,HV1573,1573,HV,TRA,D,2025-05-19,05:15:00,2025-05-19T05:15:00.000+02:00,1.0,C18,C,C,HV1573,2025-05-19T05:30:49.568+02:00,DEP,HER,S,False,,,,737,737,PHHXL,,,,2025-05-19T05:16:35.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381867308437476,AF3112,3112,AF,AFR,A,2025-05-19,05:20:00,2025-05-19T05:20:00.000+02:00,,,,J,KL0856,2025-05-15T14:11:03.225+02:00,SCH,ICN,N,False,2025-05-19T05:12:00.000+02:00,,,777,777,,,"AF3112, KE5925",,,,,,
142381868717522100,KL0856,856,KL,KLM,A,2025-05-19,05:20:00,2025-05-19T05:20:00.000+02:00,3.0,,,J,KL0856,2025-05-19T06:45:41.078+02:00,"ARR, EXP",ICN,N,False,2025-05-19T04:59:51.000+02:00,2025-05-19T04:59:51.000+02:00,2025-05-19T06:04:12.500+02:00,777,777,,15,KE5925,,,,,,
142381868691792890,KE5925,5925,KE,KAL,A,2025-05-19,05:20:00,2025-05-19T05:20:00.000+02:00,3.0,,,J,KL0856,2025-05-19T06:45:41.078+02:00,"ARR, EXP",ICN,N,False,2025-05-19T04:59:51.000+02:00,2025-05-19T04:59:51.000+02:00,2025-05-19T06:04:12.500+02:00,777,777,,15,KE5925,,,,,,
142381869294848409,OR1231,1231,OR,TFL,D,2025-05-19,05:25:00,2025-05-19T05:25:00.000+02:00,3.0,D62,D,J,OR1231,2025-05-19T05:35:42.990+02:00,DEP,ZTH,S,False,,,,737,737,PHTFO,,,,2025-05-19T05:16:31.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,,
142381869294842867,OR1025,1025,OR,TFL,D,2025-05-19,05:30:00,2025-05-19T05:30:00.000+02:00,3.0,D66,D,J,OR1025,2025-05-19T05:47:52.397+02:00,DEP,"PVK, EFL",S,False,,,,737,737,PHTFR,,,,2025-05-19T05:36:09.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,,
142381868339434113,HV5311,5311,HV,TRA,D,2025-05-19,05:30:00,2025-05-19T05:30:00.000+02:00,1.0,C13,C,J,HV5311,2025-05-19T05:53:27.776+02:00,DEP,CFU,S,False,,,,32S,32S,PHYHW,,,,2025-05-19T05:36:20.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868339426121,HV5041,5041,HV,TRA,D,2025-05-19,05:35:00,2025-05-19T05:35:00.000+02:00,1.0,D84,D,J,HV5041,2025-05-19T05:42:42.184+02:00,DEP,KGS,S,False,,,,737,737,PHHSW,,,,2025-05-19T05:27:16.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868339445143,HV5723,5723,HV,TRA,D,2025-05-19,05:35:00,2025-05-19T05:35:00.000+02:00,1.0,D82,D,J,HV5723,2025-05-19T06:00:22.764+02:00,DEP,HER,S,False,,,,32S,32S,PHYHC,,KL2595,,2025-05-19T05:40:23.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868717716793,KL2595,2595,KL,KLM,D,2025-05-19,05:35:00,2025-05-19T05:35:00.000+02:00,1.0,D82,D,J,HV5723,2025-05-19T06:00:22.764+02:00,DEP,HER,S,False,,,,32S,32S,PHYHC,,KL2595,,2025-05-19T05:40:23.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381867308451172,AF3615,3615,AF,AFR,A,2025-05-19,05:40:00,2025-05-19T05:40:00.000+02:00,3.0,,,J,DL0256,2025-05-19T07:20:40.093+02:00,ARR,BOS,N,False,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,2025-05-19T06:46:05.908+02:00,330,330,,16,"AF3615, KL6095, VS3914",,,,,,
142381868718108326,KL6095,6095,KL,KLM,A,2025-05-19,05:40:00,2025-05-19T05:40:00.000+02:00,3.0,,,J,DL0256,2025-05-19T07:20:40.093+02:00,ARR,BOS,N,False,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,2025-05-19T06:46:05.908+02:00,330,330,,16,"AF3615, KL6095, VS3914",,,,,,
142381870269633764,VS3914,3914,VS,VIR,A,2025-05-19,05:40:00,2025-05-19T05:40:00.000+02:00,3.0,,,J,DL0256,2025-05-19T07:20:40.093+02:00,ARR,BOS,N,False,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,2025-05-19T06:46:05.908+02:00,330,330,,16,"AF3615, KL6095, VS3914",,,,,,
142381867746690274,DL0256,256,DL,DAL,A,2025-05-19,05:40:00,2025-05-19T05:40:00.000+02:00,3.0,,,J,DL0256,2025-05-19T07:20:40.093+02:00,ARR,BOS,N,False,2025-05-19T05:45:15.000+02:00,2025-05-19T05:45:15.000+02:00,2025-05-19T06:46:05.908+02:00,330,330,,16,"AF3615, KL6095, VS3914",,,,,,
142381868339428785,HV5131,5131,HV,TRA,D,2025-05-19,05:55:00,2025-05-19T05:55:00.000+02:00,1.0,C7,C,J,HV5131,2025-05-19T06:07:13.544+02:00,DEP,BCN,S,False,,,,737,737,PHHZL,,,,2025-05-19T05:50:07.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381868717514112,KL0588,588,KL,KLM,A,2025-05-19,05:55:00,2025-05-19T05:55:00.000+02:00,3.0,,,J,KL0588,2025-05-19T07:10:46.096+02:00,"ARR, EXP",LOS,N,False,2025-05-19T05:39:16.000+02:00,2025-05-19T05:39:16.000+02:00,2025-05-19T06:36:57.708+02:00,330,330,,17,"AF5479, DL9507",,,,,,
142381867308648760,AF5479,5479,AF,AFR,A,2025-05-19,05:55:00,2025-05-19T05:55:00.000+02:00,3.0,,,J,KL0588,2025-05-19T07:10:46.096+02:00,"ARR, EXP",LOS,N,False,2025-05-19T05:39:16.000+02:00,2025-05-19T05:39:16.000+02:00,2025-05-19T06:36:57.708+02:00,330,330,,17,"AF5479, DL9507",,,,,,
142381867747609874,DL9507,9507,DL,DAL,A,2025-05-19,05:55:00,2025-05-19T05:55:00.000+02:00,3.0,,,J,KL0588,2025-05-19T07:10:46.096+02:00,"ARR, EXP",LOS,N,False,2025-05-19T05:39:16.000+02:00,2025-05-19T05:39:16.000+02:00,2025-05-19T06:36:57.708+02:00,330,330,,17,"AF5479, DL9507",,,,,,
142381868339538531,HV6463,6463,HV,TRA,D,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,1.0,D81,D,J,HV6463,2025-05-19T06:10:43.153+02:00,DEP,JMK,S,False,,,,737,737,PHHXD,,,,2025-05-19T05:56:19.000+02:00,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",,,
142381867308451462,AF3652,3652,AF,AFR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0070,2025-05-19T07:05:20.082+02:00,"ARR, EXP",ATL,N,False,2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,2025-05-19T06:32:02.219+02:00,330,330,,15,"AF3652, KL6071, VS4054",,,,,,
142381868718108170,KL6071,6071,KL,KLM,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0070,2025-05-19T07:05:20.082+02:00,"ARR, EXP",ATL,N,False,2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,2025-05-19T06:32:02.219+02:00,330,330,,15,"AF3652, KL6071, VS4054",,,,,,
142381870269710724,VS4054,4054,VS,VIR,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0070,2025-05-19T07:05:20.082+02:00,"ARR, EXP",ATL,N,False,2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,2025-05-19T06:32:02.219+02:00,330,330,,15,"AF3652, KL6071, VS4054",,,,,,
142381867746684934,DL0070,70,DL,DAL,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,3.0,,,J,DL0070,2025-05-19T07:05:20.082+02:00,"ARR, EXP",ATL,N,False,2025-05-19T05:29:35.000+02:00,2025-05-19T05:29:35.000+02:00,2025-05-19T06:32:02.219+02:00,330,330,,15,"AF3652, KL6071, VS4054",,,,,,
142381868717516912,KL0692,692,KL,KLM,A,2025-05-19,06:00:00,2025-05-19T06:00:00.000+02:00,2.0,,,J,KL0692,2025-05-19T07:32:01.065+02:00,"ARR, EXP",YYZ,N,False,2025-05-19T05:49:21.000+02:00,2025-05-19T05:49:21.000+02:00,2025-05-19T06:49:35.813+02:00,330,330,,12,"AF8266, DL9699, VS7164",,,,,,
