destinationIATA,num_flights,avg_delay,med_delay,isHub,isIntraEU
ABZ,1,6.0,6.0,False,False
AMS,5,14.8,16.0,False,True
ARN,1,20.0,20.0,True,True
ATL,2,29.0,29.0,True,False
BCN,2,15.0,15.0,True,True
BEG,1,8.0,8.0,True,False
BER,1,5.0,5.0,True,True
BLL,1,1.0,1.0,True,True
BLQ,1,7.0,7.0,True,True
BLR,1,14.0,14.0,True,False
BOD,1,13.0,13.0,True,True
BOS,1,6.0,6.0,False,False
BRE,1,19.0,19.0,False,True
BRS,1,-1.0,-1.0,False,False
BRU,1,-1.0,-1.0,True,True
BSL,1,15.0,15.0,False,True
BUD,1,3.0,3.0,True,True
CDG,2,6.5,6.5,True,True
CPH,1,13.0,13.0,True,True
CPT,1,190.0,190.0,True,False
CUR,1,32.0,32.0,True,False
CWL,1,14.0,14.0,False,False
DTW,1,11.0,11.0,True,False
DUB,1,7.0,7.0,True,True
DUS,1,2.0,2.0,True,True
DXB,1,1.0,1.0,True,False
FCO,1,-2.0,-2.0,True,True
FLR,1,40.0,40.0,False,True
FRA,2,15.0,15.0,True,True
GDN,1,11.0,11.0,True,True
GIG,1,15.0,15.0,True,False
GLA,1,22.0,22.0,True,False
GRU,1,27.0,27.0,True,False
GVA,1,65.0,65.0,True,False
HAM,1,5.0,5.0,True,True
HEL,2,89.0,89.0,True,True
HRG,1,13.0,13.0,True,False
IAD,1,26.0,26.0,True,False
IAH,2,45.5,45.5,True,False
JFK,1,5.0,5.0,True,False
JNB,1,14.0,14.0,True,False
LAX,1,9.0,9.0,True,False
LGW,1,87.0,87.0,True,False
LHR,2,27.5,27.5,True,False
LPA,1,10.0,10.0,True,True
LPL,1,-1.0,-1.0,False,False
LTN,1,0.0,0.0,False,False
LUX,1,-1.0,-1.0,True,True
LYS,1,0.0,0.0,True,True
MAD,2,15.0,15.0,True,True
MAN,3,17.333333333333332,15.0,True,False
MSP,1,25.0,25.0,True,False
MUC,2,10.0,10.0,True,True
MXP,1,4.0,4.0,True,True
NCE,1,4.0,4.0,True,True
NCL,1,0.0,0.0,False,False
NTE,1,11.0,11.0,True,True
OPO,1,19.0,19.0,True,True
ORK,1,-4.0,-4.0,False,True
OSL,1,3.0,3.0,True,False
PBM,1,24.0,24.0,True,False
SEA,1,31.0,31.0,True,False
SFO,1,77.0,77.0,False,False
SIN,1,25.0,25.0,True,False
STR,1,1.0,1.0,True,True
SVG,1,13.0,13.0,True,False
TBS,1,9.0,9.0,True,False
TLS,1,4.0,4.0,True,True
TPE,1,13.0,13.0,True,False
TRN,1,4.0,4.0,True,True
VIE,1,7.0,7.0,True,True
WAW,2,7.0,7.0,True,True
WRO,1,3.0,3.0,True,True
ZRH,2,18.0,18.0,True,False
